	Survey End Date	CON (%)	LAB (%)	LD (%)	UKIP (%)	Grn (%)	Con Lead
ICM/	2016-07-10	38	30	8	15	4	8
Survation/CRC	2016-07-05	36	32	9	12	4	4
ICM/	2016-07-03	37	30	8	15	4	7
Opinium/	2016-06-30	34	29	7	17	4	5
ICM/Guardian	2016-06-26	36	32	7	15	5	4
Survation/Mail on Sunday	2016-06-25	32	32	9	16	4	0
Opinium/	2016-06-22	34	30	6	19	4	4
Opinium/Observer	2016-06-17	34	30	6	18	4	4
ComRes/Sunday Mirror/Independent (O)	2016-06-16	34	29	8	19	4	5
Ipsos-MORI/Evening Standard	2016-06-14	35	34	9	10	4	1
ICM/Guardian (O)	2016-06-13	34	30	8	19	4	4
ICM/Guardian (P)	2016-06-13	34	33	9	14	5	1
Opinium/Observer	2016-06-10	35	32	4	18	4	3
Opinium/Observer	2016-06-03	34	30	6	18	4	4
ICM/Guardian	2016-05-29	36	32	7	15	3	4
ICM/Guardian (O)	2016-05-29	36	31	7	17	4	5
Opinium/Observer	2016-05-19	35	30	5	18	5	5
Ipsos-MORI/Evening Standard	2016-05-16	36	34	8	10	5	2
ICM/Guardian (O)	2016-05-15	34	32	7	17	4	2
ICM/Guardian	2016-05-15	36	34	7	13	4	2
ComRes/Independent/S Mirror (O)	2016-05-12	36	30	8	17	4	6
Opinium/Observer	2016-04-29	38	30	5	15	5	8
BMG/	2016-04-26	33	32	6	18	4	1
YouGov/Times	2016-04-26	30	33	6	20	3	-3
Ipsos-MORI/Evening Standard	2016-04-18	38	35	6	11	3	3
ICM/Guardian (O)	2016-04-17	36	31	7	16	4	5
ICM/Guardian	2016-04-17	38	33	7	13	3	5
ComRes/Independent/S Mirror (O)	2016-04-14	35	30	8	16	4	5
YouGov/Times	2016-04-12	31	34	8	17	3	-3
Opinium/Observer	2016-04-01	33	32	5	17	4	1
BMG/	2016-03-29	36	31	7	16	5	5
Ipsos-MORI/Evening Standard	2016-03-22	36	34	10	11	3	2
ComRes/Daily Mail	2016-03-20	37	35	7	9	4	2
YouGov/Times	2016-03-17	33	34	6	16	3	-1
ICM/Guardian	2016-03-13	36	36	8	11	3	0
ComRes/Independent on Sunday (O)	2016-03-10	38	29	7	16	4	9
BMG/	2016-02-23	38	30	5	16	5	8
YouGov/Times	2016-02-23	37	30	8	16	3	7
ComRes/Daily Mail	2016-02-22	38	31	8	12	3	7
Ipsos-MORI/	2016-02-16	39	33	6	12	3	6
ICM/Guardian	2016-02-14	39	32	7	11	4	7
ComRes/Independent on Sunday (O)	2016-02-12	41	27	9	15	3	14
YouGov/Times	2016-02-04	39	29	6	18	3	10
YouGov/	2016-01-28	39	30	6	17	3	9
Ipsos-MORI/	2016-01-25	40	31	7	11	4	9
ComRes/Daily Mail	2016-01-24	37	32	6	12	4	5
ICM/Guardian	2016-01-17	40	35	6	10	3	5
Survation/Mail on Sunday	2016-01-16	37	30	7	16	3	7
ComRes/Ind on Sun/S. Mirror	2016-01-15	40	29	7	16	3	11
Panelbase/Sunday Times	2016-01-14	39	31	6	14	3	8
ICM/Guardian	2015-12-20	39	34	7	10	3	5
YouGov/Times	2015-12-18	39	29	6	17	3	10
Opinium/Observer	2015-12-18	38	30	5	16	5	8
Ipsos-MORI/Evening Standard	2015-12-14	38	31	9	9	6	7
ComRes/Daily Mail	2015-12-13	37	33	7	11	5	4
ComRes/Independent on Sunday (O)	2015-12-11	40	29	7	16	3	11
YouGov/Times	2015-12-01	41	30	6	16	3	11
YouGov/	2015-11-24	38	29	6	17	3	9
ComRes/Daily Mail	2015-11-22	40	29	8	11	3	11
ComRes/Independent on Sunday (O)	2015-11-20	42	27	7	15	3	15
Ipsos-MORI/Evening Standard	2015-11-17	41	34	7	7	4	7
Survation/Leave.EU	2015-11-17	37	30	6	16	3	7
ICM/Guardian	2015-11-15	39	33	7	12	3	6
Survation/Leave.EU	2015-11-11	36	30	7	15	3	6
BMG/	2015-10-27	37	31	6	15	5	6
ComRes/Mail	2015-10-25	38	33	8	10	3	5
Ipsos-MORI/Evening Standard	2015-10-19	36	32	10	12	3	4
Opinium/	2015-10-16	37	32	5	15	4	5
ComRes/Independent on Sunday (O)	2015-10-15	42	29	7	13	3	13
ICM/Guardian	2015-10-11	38	34	7	11	3	4
YouGov/Sun	2015-09-30	37	31	7	17	2	6
ComRes/DailyMail	2015-09-28	39	30	9	12	4	9
Ipsos-MORI/Evening Standard	2015-09-23	39	34	9	7	4	5
YouGov/Sunday Times	2015-09-18	39	31	6	16	3	8
